LABEL_pred,count
neutral,0.4199236298292902
admiration,0.08007637017070979
gratitude,0.057165318957771785
curiosity,0.05491913746630728
amusement,0.04851752021563342
love,0.04582210242587601
anger,0.024932614555256066
approval,0.02425876010781671
disapproval,0.02279874213836478
surprise,0.021675651392632524
optimism,0.02100179694519317
joy,0.020440251572327043
confusion,0.017744833782569632
annoyance,0.0162848158131177
sadness,0.016172506738544475
remorse,0.015274034141958671
caring,0.009883198562443846
fear,0.008984725965858042
disgust,0.008872416891284816
relief,0.008647798742138365
nervousness,0.008535489667565139
embarrassment,0.008535489667565139
grief,0.008423180592991913
desire,0.00774932614555256
pride,0.007412398921832884
disappointment,0.00651392632524708
excitement,0.006064690026954178
realization,0.0033692722371967657
